# Canonical UI label catalog (i18n) - PORTABLE SOURCE OF TRUTH.
#
# Applied at startup by UiTranslationSyncService to ANY active database
# (SQLite and PostgreSQL) through JPA: this mechanism keeps localizations
# aligned across the two engines.
#
# RULE: add every NEW UI key HERE, never in DemoDataRepository's
# seedLabelTranslations* methods (SQLite-only SQL, not run under the PostgreSQL profile).
#
# TSV format, one record per line, with seven TAB-separated fields:
#   key <TAB> description <TAB> it <TAB> en <TAB> fr <TAB> es <TAB> de
# All five languages are required and must be non-empty (verified by UiTranslationCatalogTest).
# Empty lines and lines starting with # are ignored. Values cannot contain TAB characters.
# Synchronization is ADDITIVE: it never overwrites translations already present in the database
# (changes made on the Labels page remain intact).
#
affinity.avoid	Livello compatibilità: da evitare	Da evitare	Avoid	À éviter	A evitar	Zu vermeiden
backup.otherKeep	Etichetta max numero altri backup	Max altri backup	Max other backups	Max autres sauvegardes	Máx. otras copias	Max. andere Backups
backup.otherRetentionDays	Etichetta conservazione altri backup	Conservazione altri backup	Other backups retention	Conservation des autres sauvegardes	Retención de otras copias	Aufbewahrung sonstiger Backups
backup.restore	Tooltip ripristino backup	Ripristina questo backup	Restore this backup	Restaurer cette sauvegarde	Restaurar esta copia	Diese Sicherung wiederherstellen
backup.restoreConfirm	Pulsante conferma ripristino	Ripristina	Restore	Restaurer	Restaurar	Wiederherstellen
backup.restoreMsg	Messaggio conferma ripristino (prima parte)	Il database verrà riportato allo stato del	The database will be reverted to its state as of	La base de données sera ramenée à son état du	La base de datos volverá a su estado del	Die Datenbank wird auf den Stand vom
backup.restoreMsg2	Messaggio conferma ripristino (seconda parte)	I dati inseriti dopo quel momento andranno persi (lo stato attuale viene comunque salvato prima). Continuare?	Data entered after that moment will be lost (the current state is saved first anyway). Continue?	Les données saisies après ce moment seront perdues (l'état actuel est d'abord enregistré). Continuer ?	Los datos introducidos después de ese momento se perderán (el estado actual se guarda antes de todos modos). ¿Continuar?	Danach eingegebene Daten gehen verloren (der aktuelle Zustand wird vorher gespeichert). Fortfahren?
backup.restoreTitle	Titolo conferma ripristino	Ripristina database	Restore database	Restaurer la base de données	Restaurar base de datos	Datenbank wiederherstellen
backup.rotationHint	Nota rotazione automatica backup	I file più vecchi dei giorni indicati vengono eliminati alla rotazione; restano attivi anche i limiti massimi per numero di backup.	Files older than the specified days are deleted on rotation; the maximum backup count limits also remain active.	Les fichiers plus anciens que le nombre de jours indiqué sont supprimés lors de la rotation ; les limites maximales par nombre de sauvegardes restent également actives.	Los archivos más antiguos que los días indicados se eliminan en la rotación; también siguen activos los límites máximos por número de copias.	Dateien, die älter als die angegebenen Tage sind, werden bei der Rotation gelöscht; die Höchstgrenzen für die Anzahl der Backups bleiben ebenfalls aktiv.
backup.rotationSettings	Titolo rotazione automatica backup	Rotazione automatica	Automatic rotation	Rotation automatique	Rotación automática	Automatische Rotation
backup.runNow	Pulsante backup manuale immediato	Backup adesso	Back up now	Sauvegarder maintenant	Hacer copia ahora	Jetzt sichern
backup.size	Intestazione colonna dimensione backup	Dimensione	Size	Taille	Tamaño	Größe
backup.tag.auto	Badge backup automatico	Automatico	Automatic	Automatique	Automática	Automatisch
backup.tag.manual	Badge backup manuale	Manuale	Manual	Manuelle	Manual	Manuell
backup.tag.preop	Badge backup pre-operazione	Pre-operazione	Pre-operation	Pré-opération	Pre-operación	Vor-Vorgang
backup.tag.prerestore	Badge backup pre-ripristino	Pre-ripristino	Pre-restore	Pré-restauration	Pre-restauración	Vor-Wiederherstellung
backup.validation.autoDays	Validazione giorni conservazione automatici	La conservazione degli automatici deve essere compresa tra 1 e 3650 giorni.	Automatic backups retention must be between 1 and 3650 days.	La conservation des sauvegardes automatiques doit être comprise entre 1 et 3650 jours.	La retención de copias automáticas debe estar entre 1 y 3650 días.	Die Aufbewahrung automatischer Backups muss zwischen 1 und 3650 Tagen liegen.
backup.validation.autoKeep	Validazione max numero backup automatici	Il numero massimo di backup automatici deve essere compreso tra 1 e 100000.	The maximum number of automatic backups must be between 1 and 100000.	Le nombre maximum de sauvegardes automatiques doit être compris entre 1 et 100000.	El número máximo de copias automáticas debe estar entre 1 y 100000.	Die maximale Anzahl automatischer Backups muss zwischen 1 und 100000 liegen.
backup.validation.coherence	Validazione coerenza intervallo/conservazione	La conservazione degli automatici deve coprire almeno due intervalli completi di backup.	Automatic backups retention must cover at least two full backup intervals.	La conservation des sauvegardes automatiques doit couvrir au moins deux intervalles complets de sauvegarde.	La retención de copias automáticas debe cubrir al menos dos intervalos completos de copia.	Die Aufbewahrung automatischer Backups muss mindestens zwei vollständige Backup-Intervalle abdecken.
backup.validation.interval	Validazione intervallo backup	L’intervallo deve essere un numero intero compreso tra 1 e 1440 minuti.	The interval must be an integer between 1 and 1440 minutes.	L’intervalle doit être un nombre entier compris entre 1 et 1440 minutes.	El intervalo debe ser un número entero entre 1 y 1440 minutos.	Das Intervall muss eine ganze Zahl zwischen 1 und 1440 Minuten sein.
backup.validation.otherDays	Validazione giorni conservazione altri backup	La conservazione degli altri backup deve essere compresa tra 1 e 3650 giorni.	Other backups retention must be between 1 and 3650 days.	La conservation des autres sauvegardes doit être comprise entre 1 et 3650 jours.	La retención de otras copias debe estar entre 1 y 3650 días.	Die Aufbewahrung sonstiger Backups muss zwischen 1 und 3650 Tagen liegen.
backup.validation.otherKeep	Validazione max numero altri backup	Il numero massimo di altri backup deve essere compreso tra 1 e 100000.	The maximum number of other backups must be between 1 and 100000.	Le nombre maximum d'autres sauvegardes doit être compris entre 1 et 100000.	El número máximo de otras copias debe estar entre 1 y 100000.	Die maximale Anzahl anderer Backups muss zwischen 1 und 100000 liegen.
badge.weekLocked	Badge settimana bloccata	Settimana bloccata	Week locked	Semaine verrouillée	Semana bloqueada	Woche gesperrt
btn.add	Pulsante Aggiungi	Aggiungi	Add	Ajouter	Añadir	Hinzufügen
btn.addEmployee	Pulsante Aggiungi Dipendente	Aggiungi Operatore	Add Operator	Ajouter Opérateur	Añadir Operador	Mitarbeiter hinzufügen
btn.addLocation	Pulsante Aggiungi Sede	Aggiungi Sede	Add Location	Ajouter Lieu	Añadir Ubicación	Ort hinzufügen
btn.addRange	Pulsante Aggiungi fascia	Aggiungi fascia	Add range	Ajouter une plage	Añadir franja	Bereich hinzufügen
btn.addShift	Pulsante Aggiungi Turno	Aggiungi Turno	Add Shift	Ajouter Quart	Añadir Turno	Schicht hinzufügen
btn.addSpecialist	Pulsante Aggiungi Specialista	Aggiungi Specialista	Add Specialist	Ajouter Spécialiste	Añadir Especialista	Spezialist hinzufügen
btn.analyze	Pulsante Analizza	Analizza	Analyze	Analyser	Analizar	Analysieren
btn.apply	Pulsante Applica	Applica	Apply	Appliquer	Aplicar	Anwenden
btn.applyTemplate	Pulsante Popola da template	Popola da template	Fill from template	Remplir depuis le modèle	Rellenar desde plantilla	Aus Vorlage füllen
btn.cancel	Pulsante Annulla	Annulla	Cancel	Annuler	Cancelar	Abbrechen
btn.close	Pulsante Chiudi	Chiudi	Close	Fermer	Cerrar	Schließen
btn.confirm	Pulsante Conferma	Conferma	Confirm	Confirmer	Confirmar	Bestätigen
btn.copy	Pulsante Copia	Copia	Copy	Copier	Copiar	Kopieren
btn.delete	Pulsante Elimina	Elimina	Delete	Supprimer	Eliminar	Löschen
btn.discardSolution	Pulsante Scarta soluzione (modale Risultato Solve)	Scarta	Discard	Ignorer	Descartar	Verwerfen
btn.edit	Pulsante Modifica	Modifica	Edit	Modifier	Editar	Bearbeiten
btn.exportJson	Pulsante Esporta JSON	Esporta JSON	Export JSON	Exporter JSON	Exportar JSON	JSON exportieren
btn.generatePdf	Pulsante Genera PDF	Genera PDF	Generate PDF	Générer PDF	Generar PDF	PDF generieren
btn.handleSkill	Pulsante Gestisci Skill	Gestisci Skill	Handle Skill	Gérer Compétences	Gestionar Habilidades	Kompetenzen verwalten
btn.interrupt	Pulsante Interrompi	Interrompi	Stop	Interrompre	Interrumpir	Abbrechen
btn.preview	Pulsante Anteprima	Anteprima	Preview	Aperçu	Vista previa	Vorschau
btn.printCoverage	Pulsante Stampa Copertura	Stampa Copertura	Print Coverage	Imprimer Couverture	Imprimir Cobertura	Deckung drucken
btn.printShifts	Pulsante Stampa Turni	Stampa Turni	Print Shifts	Imprimer Quarts	Imprimir Turnos	Schichten drucken
btn.remove	Pulsante Rimuovi	Rimuovi	Remove	Retirer	Quitar	Entfernen
btn.resend	Tooltip pulsante reinvio email (Report)	Reinvia	Resend	Renvoyer	Reenviar	Erneut senden
btn.save	Pulsante Salva	Salva	Save	Enregistrer	Guardar	Speichern
btn.saveAll	Pulsante Salva tutto	Salva tutto	Save All	Tout enregistrer	Guardar todo	Alles speichern
btn.saveAndLock	Pulsante Salva e Blocca	Salva e Blocca	Save and Lock	Enregistrer et Verrouiller	Guardar y Bloquear	Speichern und Sperren
btn.saveAnyway	Pulsante Salva comunque (conferma soluzione infeasible)	Salva comunque	Save anyway	Enregistrer quand même	Guardar de todos modos	Trotzdem speichern
btn.saveAssignments	Pulsante Salva assegnazioni (modale Risultato Solve)	Salva assegnazioni	Save assignments	Enregistrer les affectations	Guardar asignaciones	Zuweisungen speichern
btn.saveToTemplate	Pulsante salva in template	Salva in template	Save to template	Enregistrer dans le modèle	Guardar en plantilla	In Vorlage speichern
btn.selectSkills	Pulsante Seleziona Skill	Seleziona Skill	Select Skills	Sélectionner Compétences	Seleccionar Habilidades	Kompetenzen auswählen
btn.sendAllEmails	Pulsante invio massivo email (header colonna Report)	Invia tutte le email	Send all emails	Envoyer tous les e-mails	Enviar todos los emails	Alle E-Mails senden
btn.sendEmail	Pulsante invio email singola (riga Report)	Invia Email	Send Email	Envoyer l'e-mail	Enviar email	E-Mail senden
btn.solve	Pulsante Avvia solver	Risolvi	Solve	Résoudre	Resolver	Lösen
btn.stopSolving	Pulsante Ferma solver	Ferma	Stop solving	Arrêter	Detener	Stoppen
btn.today	Pulsante Oggi	Oggi	Today	Aujourd'hui	Hoy	Heute
btn.unlock	Pulsante Sblocca	Sblocca	Unlock	Déverrouiller	Desbloquear	Entsperren
col.actions	Intestazione colonna Azioni	Azioni	Actions	Actions	Acciones	Aktionen
col.active	Intestazione colonna Attiva	Attiva	Active	Active	Activa	Aktiv
col.avoidSpecialists	Colonna specialisti da evitare	Spec. da evitare	Specialists to avoid	Spéc. à éviter	Espec. a evitar	Zu vermeidende Spez.
col.code	Intestazione colonna Codice	Codice	Code	Code	Código	Code
col.company	Intestazione colonna Azienda	Azienda	Company	Entreprise	Empresa	Unternehmen
col.createdAt	Intestazione colonna Creato il	Creato il	Created on	Créé le	Creado el	Erstellt am
col.dateEnd	Intestazione colonna Data Fine	Data Fine	End Date	Date Fin	Fecha Fin	Enddatum
col.dateStart	Intestazione colonna Data Inizio	Data Inizio	Start Date	Date Début	Fecha Inicio	Startdatum
col.day	Intestazione colonna Giorno	Giorno	Day	Jour	Día	Tag
col.description	Intestazione colonna Descrizione	Descrizione	Description	Description	Descripción	Beschreibung
col.employee	Intestazione colonna Impiegato	Operatore	Operator	Opérateur	Operador	Mitarbeiter
col.end	Intestazione colonna Fine	Fine	End	Fin	Fin	Ende
col.id	Intestazione colonna ID	ID	ID	ID	ID	ID
col.incompatibleSpecialists	Colonna specialisti incompatibili	Spec. incompatibili	Incompatible specialists	Spéc. incompatibles	Espec. incompatibles	Unvereinbare Spez.
col.key	Intestazione colonna Chiave	Chiave	Key	Clé	Clave	Schlüssel
col.location	Intestazione colonna Sede	Sede	Location	Lieu	Ubicación	Ort
col.name	Intestazione colonna Nome	Nome	Name	Nom	Nombre	Name
col.optionalSkills	Intestazione colonna Skill Opzionali	Skill Opt.	O.Skills	Comp.Opt.	Hab.Opc.	Opt.Komp.
col.order	Intestazione colonna Ordine	Ordine	Order	Ordre	Orden	Reihenfolge
col.requiredSkills	Intestazione colonna Skill Richieste	Skill Ric.	R.Skills	Comp.Req.	Hab.Req.	Erf.Komp.
col.start	Intestazione colonna Inizio	Inizio	Start	Début	Inicio	Start
col.type	Intestazione colonna Tipo	Tipo	Type	Type	Tipo	Typ
common.close	Pulsante Chiudi (generico)	Chiudi	Close	Fermer	Cerrar	Schließen
common.no	No (generico)	No	No	Non	No	Nein
common.yes	Sì (generico)	Sì	Yes	Oui	Sí	Ja
common.none	Etichetta nessuna	Nessuna	None	Aucune	Ninguna	Keine
config.autoPopulate	Titolo blocco popolamento automatico da template	Popolamento automatico da template	Automatic template population	Remplissage automatique depuis le modèle	Rellenado automático desde la plantilla	Automatische Befüllung aus Vorlage
config.autoPopulate.hint	Suggerimento popolamento automatico da template	Quando in Gestione Turni passi a un periodo (corrente o futuro) senza turni, questo viene popolato automaticamente dal template della sede. I periodi passati non vengono toccati.	When you move to a period (current or future) with no shifts in Shift Management, it is automatically populated from the location template. Past periods are not affected.	Lorsque vous passez à une période (actuelle ou future) sans créneaux dans la Gestion des créneaux, elle est automatiquement remplie à partir du modèle du site. Les périodes passées ne sont pas modifiées.	Cuando pasas a un periodo (actual o futuro) sin turnos en la Gestión de turnos, se rellena automáticamente desde la plantilla de la sede. Los periodos pasados no se modifican.	Wenn du in der Schichtverwaltung zu einem Zeitraum (aktuell oder zukünftig) ohne Schichten wechselst, wird dieser automatisch aus der Standortvorlage befüllt. Vergangene Zeiträume bleiben unberührt.
config.autoPopulate.label	Etichetta switch popolamento automatico	Popola automaticamente i periodi vuoti dal template	Automatically populate empty periods from the template	Remplir automatiquement les périodes vides à partir du modèle	Rellenar automáticamente los periodos vacíos desde la plantilla	Leere Zeiträume automatisch aus der Vorlage befüllen
config.general.col.autoPopulate	Colonna Auto-popolamento tabella Parametri generali	Auto-popolamento	Auto-populate	Remplissage auto	Autocompletado	Auto-Befüllung
config.general.col.window	Colonna Granularita tabella Parametri generali	Granularità	Granularity	Granularité	Granularidad	Granularität
config.general.listHint	Suggerimento tabella Parametri generali	I parametri sono contestuali alla struttura. Usa la matita per modificarli.	Settings are per structure. Use the pencil to edit them.	Les paramètres sont propres à chaque structure. Utilisez le crayon pour les modifier.	Los parámetros son propios de cada estructura. Usa el lápiz para editarlos.	Die Parameter sind strukturspezifisch. Zum Bearbeiten das Stift-Symbol verwenden.
config.info.activeDatabase	Etichetta indicatore database attivo (System Info)	Database attivo	Active database	Base de données active	Base de datos activa	Aktive Datenbank
config.info.appTitle	Titolo tabella Applicazione (System Info)	Applicazione	Application	Application	Aplicación	Anwendung
config.info.checkUpdates	Pulsante Verifica aggiornamenti	Verifica aggiornamenti	Check for updates	Vérifier les mises à jour	Buscar actualizaciones	Nach Updates suchen
config.info.component	Colonna Componente	Componente	Component	Composant	Componente	Komponente
config.info.description	Descrizione sezione System Info	Versioni dei componenti principali dell'applicazione.	Versions of the application's main components.	Versions des principaux composants de l'application.	Versiones de los componentes principales de la aplicación.	Versionen der Hauptkomponenten der Anwendung.
config.info.error	Errore caricamento informazioni backend	Impossibile caricare le informazioni del backend.	Unable to load backend information.	Impossible de charger les informations du backend.	No se pudo cargar la información del backend.	Backend-Informationen konnten nicht geladen werden.
config.info.mainTitle	Titolo tabella componenti principali (System Info)	Componenti principali	Main components	Composants principaux	Componentes principales	Hauptkomponenten
config.info.secondaryTitle	Titolo librerie e componenti secondari	Librerie e componenti secondari	Secondary libraries and components	Bibliothèques et composants secondaires	Bibliotecas y componentes secundarios	Sekundäre Bibliotheken und Komponenten
config.info.unavailable	Badge aggiornamento non disponibile	Non disponibile	Unavailable	Non disponible	No disponible	Nicht verfügbar
config.info.upToDate	Badge componente aggiornato	Aggiornato	Up to date	À jour	Actualizado	Aktuell
config.info.updateAvailable	Badge aggiornamento disponibile	Disponibile	Available	Disponible	Disponible	Verfügbar
config.info.updates	Colonna Aggiornamenti	Aggiornamenti	Updates	Mises à jour	Actualizaciones	Aktualisierungen
config.info.version	Colonna Versione	Versione	Version	Version	Versión	Version
config.menu.backup	Voce menu configurazione Backup	Backup	Backup	Sauvegarde	Copia de seguridad	Sicherung
config.menu.backup.tooltip	Tooltip voce Backup	Backup e ripristino del database	Database backup and restore	Sauvegarde et restauration de la base de données	Copia de seguridad y restauración de la base de datos	Sicherung und Wiederherstellung der Datenbank
config.menu.emailSettings	Voce menu configurazione Parametri Email	Parametri Email	Email Settings	Paramètres e-mail	Parámetros de email	E-Mail-Einstellungen
config.menu.emailSettings.tooltip	Tooltip voce Parametri Email	Configura il server SMTP per l'invio delle email	Configure the SMTP server for sending emails	Configurer le serveur SMTP pour l'envoi des e-mails	Configura el servidor SMTP para el envío de emails	SMTP-Server für den E-Mail-Versand konfigurieren
config.menu.emailTemplate	Voce menu configurazione Template Email	Template Email	Email Template	Modèle d'e-mail	Plantilla de email	E-Mail-Vorlage
config.menu.emailTemplate.tooltip	Tooltip voce menu Template Email	Configura il template delle email	Configure the email template	Configurer le modèle d'e-mail	Configura la plantilla de email	E-Mail-Vorlage konfigurieren
config.menu.general	Menu configurazione parametri generali	Parametri generali	General settings	Paramètres généraux	Parámetros generales	Allgemeine Einstellungen
config.menu.general.tooltip	Tooltip parametri generali	Configura i parametri generali	Configure general settings	Configurer les paramètres généraux	Configurar los parámetros generales	Allgemeine Einstellungen konfigurieren
config.menu.homeUi	Menu configurazione home	Configurazione Generale	General configuration	Configuration générale	Configuración general	Allgemeine Konfiguration
config.menu.homeUi.tooltip	Tooltip configurazione home	Gestisci copertina e testi della home	Manage home cover and texts	Gérer la couverture et les textes de l'accueil	Gestionar la portada y los textos de inicio	Startseite-Cover und Texte verwalten
home.ui.title	Titolo sezione home	Home – Contenuti	Home content	Contenu accueil	Contenido de inicio	Home-Inhalte
home.ui.cover	Etichetta cover home	Copertina home	Home cover	Couverture accueil	Portada inicio	Startseitenbild
home.ui.coverHint	Suggerimento cover home	Solo file .webp, massimo 2 MB.	Only .webp files, max 2 MB.	Fichiers .webp uniquement, 2 Mo max.	Solo archivos .webp, máximo 2 MB.	Nur .webp-Dateien, max. 2 MB.
home.ui.texts	Titolo blocco testi home	Testi home	Home texts	Textes accueil	Textos de inicio	Home-Texte
home.ui.textTitle	Label titolo home	Titolo	Title	Titre	Título	Titel
home.ui.textBody	Label testo home	Testo principale	Main text	Texte principal	Texto principal	Haupttext
home.ui.textHint	Label suggerimento home	Suggerimento	Hint	Indice	Sugerencia	Hinweis
home.title	Titolo home	Benvenuto in Employee Scheduling	Welcome to Employee Scheduling	Bienvenue dans Employee Scheduling	Bienvenido a Employee Scheduling	Willkommen bei Employee Scheduling
home.body	Testo home	Seleziona una struttura per iniziare a pianificare i turni.	Select a structure to start scheduling shifts.	Sélectionnez une structure pour commencer à planifier les quarts.	Selecciona una estructura para empezar a planificar turnos.	Wähle eine Struktur, um mit der Schichtplanung zu beginnen.
home.hint	Suggerimento home	Puoi creare sedi e operatori dalla configurazione.	You can create locations and operators from configuration.	Vous pouvez créer des lieux et des opérateurs depuis la configuration.	Puedes crear sedes y operadores desde la configuración.	Du kannst Standorte und Mitarbeiter in der Konfiguration anlegen.
config.menu.info	Voce menu Config: System Info	System Info	System Info	Infos système	Info del sistema	Systeminfo
config.menu.info.tooltip	Tooltip voce menu System Info	Versioni e informazioni di sistema	System versions and information	Versions et informations système	Versiones e información del sistema	Systemversionen und -informationen
config.menu.localizations	Menu configurazione localizzazioni	Localizzazioni	Localizations	Localisations	Localizaciones	Lokalisierungen
config.menu.localizations.tooltip	Tooltip localizzazioni	Gestisci etichette e traduzioni	Manage labels and translations	Gérer les libellés et les traductions	Gestionar etiquetas y traducciones	Beschriftungen und Übersetzungen verwalten
config.menu.pdfTemplate	Voce menu Config: Template PDF	Template PDF	PDF templates	Modèles PDF	Plantillas PDF	PDF-Vorlagen
config.menu.pdfTemplate.tooltip	Tooltip voce menu Template PDF	Configura logo, intestazione e piè di pagina dei PDF	Configure PDF logo, header and footer	Configurer le logo, l’en-tête et le pied de page des PDF	Configurar el logotipo, el encabezado y el pie de página de los PDF	Logo, Kopf- und Fußzeile der PDFs konfigurieren
config.menu.skills	Menu configurazione competenze	Competenze	Skills	Compétences	Competencias	Kompetenzen
config.menu.skills.tooltip	Tooltip competenze	Gestisci le competenze	Manage skills	Gérer les compétences	Gestionar las competencias	Kompetenzen verwalten
config.menu.solverSettings	Menu configurazione parametri Solver	Parametri Solver	Solver Settings	Paramètres du solveur	Parámetros del solver	Solver-Einstellungen
config.menu.solverSettings.tooltip	Tooltip parametri Solver	Configura i parametri del motore di pianificazione	Configure optimization engine settings	Configurer les paramètres du moteur d’optimisation	Configurar los parámetros del motor de optimización	Einstellungen der Optimierungs-Engine konfigurieren
config.menu.structures	Menu configurazione strutture	Strutture	Structures	Structures	Estructuras	Strukturen
config.menu.structures.tooltip	Tooltip strutture	Gestisci le strutture organizzative	Manage organizational structures	Gérer les structures organisationnelles	Gestionar las estructuras organizativas	Organisationsstrukturen verwalten
config.menu.templates	Menu configurazione template turni	Template turni	Shift templates	Modèles de quarts	Plantillas de turnos	Schichtvorlagen
config.menu.templates.tooltip	Tooltip template turni	Configura i template dei turni	Configure shift templates	Configurer les modèles de quarts	Configurar las plantillas de turnos	Schichtvorlagen konfigurieren
config.section.shiftView	Sezione visualizzazione turni	Visualizzazione turni	Shift view	Affichage des quarts	Visualización de turnos	Schichtansicht
config.section.template	Sezione template turni settimanale	Template turni settimanale	Weekly shift template	Modèle de quarts hebdomadaire	Plantilla de turnos semanal	Wöchentliche Schichtvorlage
config.shiftWindow	Etichetta granularita finestra turni	Granularità finestra turni	Shift window granularity	Granularité de la fenêtre de quarts	Granularidad de la ventana de turnos	Granularität des Schichtfensters
config.shiftWindow.hint	Suggerimento granularita finestra turni	Determina l'ampiezza della finestra e il passo delle frecce in Gestione Turni.	Determines the window width and the arrow step in Shift Management.	Détermine la largeur de la fenêtre et le pas des flèches dans la gestion des quarts.	Determina el ancho de la ventana y el paso de las flechas en la gestión de turnos.	Bestimmt die Fensterbreite und die Schrittweite der Pfeile in der Schichtverwaltung.
config.template.daysWithShifts	Legenda giorni con turni	Giorni con turni	Days with shifts	Jours avec quarts	Días con turnos	Tage mit Schichten
config.template.hasShifts	Legenda giorno con turni	Giorno con turni	Day with shifts	Jour avec quarts	Día con turnos	Tag mit Schichten
config.template.hint	Suggerimento editor template settimanale	Schema settimanale ricorrente: click su un'area vuota per aggiungere un turno, su un turno per modificarlo. Verrà usato per prepopolare le nuove finestre.	Recurring weekly schema: click an empty area to add a shift, or a shift to edit it. It will be used to pre-populate new windows.	Schéma hebdomadaire récurrent : cliquez sur une zone vide pour ajouter un quart, ou sur un quart pour le modifier. Il servira à préremplir les nouvelles fenêtres.	Esquema semanal recurrente: haga clic en un área vacía para añadir un turno, o en un turno para editarlo. Se usará para rellenar las nuevas ventanas.	Wiederkehrendes Wochenschema: Klicken Sie auf einen leeren Bereich, um eine Schicht hinzuzufügen, oder auf eine Schicht, um sie zu bearbeiten. Es wird zum Vorbefüllen neuer Fenster verwendet.
config.template.listHint	Nota lista template salvati	Elenco dei template salvati da Gestione Turni. Usa la matita per modificarne descrizione e turni.	List of templates saved from Shift Management. Use the pencil to edit description and shifts.	Liste des modèles enregistrés depuis la Gestion des quarts. Utilisez le crayon pour modifier la description et les quarts.	Lista de plantillas guardadas desde Gestión de Turnos. Usa el lápiz para editar descripción y turnos.	Liste der aus der Schichtverwaltung gespeicherten Vorlagen. Mit dem Stift Beschreibung und Schichten bearbeiten.
config.template.prepopulate	Pulsante prepopola da settimana	Prepopola da questa settimana	Pre-populate from this week	Préremplir à partir de cette semaine	Rellenar desde esta semana	Aus dieser Woche vorbefüllen
config.template.shiftsConfigured	Colonna turni configurati	Turni configurati	Configured shifts	Quarts configurés	Turnos configurados	Konfigurierte Schichten
config.template.sourceWeek	Etichetta settimana sorgente template	Settimana sorgente	Source week	Semaine source	Semana de origen	Quellwoche
config.template.window	Etichetta finestra template (sola lettura)	Finestra	Window	Fenêtre	Ventana	Fenster
config.template.window.hint	Nota origine granularità finestra	Granularità impostata in Parametri generali.	Granularity set in General settings.	Granularité définie dans les Paramètres généraux.	Granularidad definida en Parámetros generales.	Granularität wird in den Allgemeinen Einstellungen festgelegt.
